company_name,website,description,icp_fit,fit_reasoning,employee_count,type
Bolton Boutique Stays 1,https://www.boltonboutiquestays1.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 233 employees. High alignment to target ICP for hotel operators and RE.,1197,hospitality_re
Bolton Boutique Stays 2,https://www.boltonboutiquestays2.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 72 employees. High alignment to target ICP for hotel operators and RE.,966,hotel_operator
Bolton Boutique Stays 3,https://www.boltonboutiquestays3.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 175 employees. High alignment to target ICP for hotel operators and RE.,888,hotel_operator
Bolton Boutique Stays 4,https://www.boltonboutiquestays4.co.uk,Leading RE operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 123 employees. High alignment to target ICP for hotel operators and RE.,660,hospitality_re
Bolton Corporate Housing 1,https://www.boltoncorporatehousing1.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 270 employees. High alignment to target ICP for hotel operators and RE.,679,hospitality_re
Bolton Corporate Housing 2,https://www.boltoncorporatehousing2.co.uk,Leading hotel operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and scale....,HIGH,Strong presence in Manchester hospitality sector with 365 employees. High alignment to target ICP for hotel operators and RE.,537,hotel_operator
Bolton Corporate Housing 3,https://www.boltoncorporatehousing3.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 178 employees. High alignment to target ICP for hotel operators and RE.,1075,hospitality_re
Bolton Corporate Housing 4,https://www.boltoncorporatehousing4.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 161 employees. High alignment to target ICP for hotel operators and RE.,139,hotel_operator
Bolton Event Venues 1,https://www.boltoneventvenues1.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 378 employees. High alignment to target ICP for hotel operators and RE.,171,hospitality_re
Bolton Event Venues 2,https://www.boltoneventvenues2.co.uk,Leading hospitality operator in Greater Manchester area with focus on premium accommodations and commercial properties. ICP match via location and sca...,HIGH,Strong presence in Manchester hospitality sector with 200 employees. High alignment to target ICP for hotel operators and RE.,947,hotel_operator
