company_name,website,hotel_type,estimated_rooms,london_area,icp_fit_level,icp_fit_reasoning
"**** HOTEL LONDON MARRIOTT MAIDA VALE, LONDON ****",https://marriott-maida-vale.at-london-hotels.com/en/,chain,200+,Notting Hill,High,"Premium, 100+ rooms, group events"
"**** HOTEL THE HOXTON, SHOREDITCH, LONDON ****",https://thehoxtonshoreditch.hotellondra.org/en/,boutique,100-200,Islington,High,"Boutique, 100+ rooms, group ready"
116Pallmall,https://www.116pallmall.com/weddings/,luxury,50-100,Pall Mall,High,luxury; group events
"5 Star Luxury Hotel Leicester Square, London",https://thelondoner.co.uk/,luxury,200+,Westminster,High,"4-5 star, group-focu"
5Starweddingdirectory,https://5starweddingdirectory.com/blog/50-luxury-wedding-venues-in-london/,luxury,50-100,Central London,High,luxury; group events
[](https://www.facebook.com/StErminsHotel),https://www.sterminshotel.co.uk/about,luxury,50-100,Westminster,High,"4-star, 50-100 rooms..."
[Book a table online](https://www.londonbridgehotel.com/bookatable) or call [+44 (0)20 7855 2297](tel:02078552297),https://londonbridgehotel.com/,boutique,50-100,London,High,"4-star, 50-100 rooms..."
[Hotel](https://www.millenniumhotels.com/en/london/millennium-gloucester-hotel-london-kensington/home),https://www.millenniumhotels.com/en/london/millennium-gloucester-hotel-london-kensington/,upscale,200+,Kensington,High,"200+ rooms, group-fo..."
Apexhotels,https://www.apexhotels.co.uk/destinations/london/apex-city-of-london-hotel/meetings-events/,business,50-100,City,High,Group-ready
Artotellondonhoxton,https://artotellondonhoxton.com/,luxury,100-200,Shoreditch,High,luxury-boutique +...
Athenaeumhotel,https://athenaeumhotel.com/group-stays/,independent,100-200,Central London,High,50+ rooms + group...
Bc 36962,https://www.execstays.com/property/hotel-indigo-london-hyde-park-paddington-by-ihg/BC-36962,boutique,Unknown,Paddington,High,Luxury property | group-focused
Be Islington Apartments,https://www.booking.com/hotel/gb/be-islington-apartments.html,luxury,200+,Islington,High,"100+ rooms, luxury p"
Bed and Breakfast UK,https://www.bedandbreakfasts.co.uk/boatland-lodge/hammersmith-city/,luxury,100-200,Hammersmith & Fulham,High,"4-5 star, group-focu"
Belgraves,https://www.booking.com/hotel/gb/belgraves.html,boutique,200+,Kensington,High,"100+ rooms, luxury p"
Best 5-Star Hotel near Tower Bridge London UK,https://www.blueorchid.com/en/hotels/gb/london/london-tower-suites,luxury,100-200,Tower Hamlets,High,"4-5 star, group-focu"
Best boutique and luxury hotels in Knightsbridge,https://www.mrandmrssmith.com/destinations/london/knightsbridge/hotels,boutique,100-200,Knightsbridge,High,luxury-boutique +...
Best boutique and luxury hotels in Shoreditch,https://www.mrandmrssmith.com/destinations/london/shoreditch/hotels,boutique,100-200,Shoreditch,High,luxury-boutique +...
Best hotels in East London,https://www.telegraph.co.uk/travel/destinations/europe/united-kingdom/england/london/east/hotels/,luxury,100-200,Islington,High,"Premium, 100+ rooms, group events"
Best Western Hotels in London,https://www.booking.com/bestwestern/city/gb/london.html,chain,50-100,Westminster,High,"4-star, 50-100 rooms..."
Bestwestern,https://www.bestwestern.co.uk/our-hotel-brands/brand-hotel/best-western-premier,chain,200+,London,High,"200+ rooms, group-fo..."
Blakemorehydepark,https://www.blakemorehydepark.com/,upscale,100-200,London,High,"4-star, 100-200 room..."
Blakeshotels,https://www.blakeshotels.com/,independent,50-100,Chelsea,High,"Luxury/5-star, Group-ready"
"Book Our Boutique Hotel in Shoreditch, East London",https://thehoxton.com/london/shoreditch/hotels,boutique,100-200,Shoreditch,High,luxury-boutique +...
Borough Market Hotels,https://www.google.com/travel/hotels/landingpage/borough-market-hotels,chain,Unknown,Southwark,High,Luxury property | group-focused
Boutiquehotelhub,https://boutiquehotelhub.com/boutique-hotels/united-kingdom/greater-london/london/shoreditch/,boutique,100-200,Shoreditch,High,luxury-boutique +...
Bridge Hotel,https://hiltontowerbridge.londonahotel.com/en/,business,200+,South Bank,High,"Group-ready, Large venue"
CANARY RIVERSIDE PLAZA HOTEL,https://www.hotelplanner.com/Hotels/261030/Reservations-Canary-Riverside-Plaza-Hotel-London-46-Westferry-Circus-E148RS,independent,100-200,Central London,High,50+ rooms + group...
Canary Riverside Plaza Hotel from $283. London Hotel Deals & Reviews,https://kayak.com/London-Hotels-Canary-Riverside-Plaza-Hotel.12668.ksp,independent,50-100,Central London,High,50+ rooms + group...
Canary Riverside Plaza Hotel London,https://canary-riverside-plaza.hotels-of-london.com/,luxury,100-200,Central London,High,luxury-boutique +...
"Canary Riverside Plaza Hotel, London, United Kingdom",https://www.travelated.com/united-kingdom/london/canary-riverside-plaza-hotel,luxury,100-200,Central London,High,luxury-boutique +...
Capitalhotel.Es,https://www.booking.com/hotel/gb/capitalhotel.es.html,boutique,200+,Kensington,High,"100+ rooms, luxury p"
"Carling Apollo Hammersmith Bed and Breakfast, Cheap Hotel and Guest House Accommodation",https://www.bedandbreakfasts.co.uk/carling-apollo-hammersmith/,luxury,100-200,Hammersmith & Fulham,High,"4-5 star, group-focu"
Central London Apartments Marylebone,https://www.urban-stay.co.uk/central-london-apartments-marylebone,boutique,Unknown,Fitzrovia,High,Luxury property | group-focused
